scale,indexed,query,reps,mean_ms,p50_ms,p95_ms,stddev_ms,min_ms,max_ms
100000,False,Q1 point lookup by postID,30,44.096,48.409,55.538,8.222,28.505,56.947
100000,False,"Q2 recent posts, sorted, limit 20",30,49.797,52.239,62.925,9.694,33.083,71.194
100000,False,"Q3 posts by tag, limit 100",30,0.569,0.572,0.71,0.084,0.423,0.748
100000,False,Q4 aggregation: top authors by likes,30,41.174,41.911,51.177,7.086,29.293,52.592
100000,True,Q1 point lookup by postID,30,0.475,0.453,0.773,0.208,0.258,1.373
100000,True,"Q2 recent posts, sorted, limit 20",30,0.431,0.413,0.626,0.101,0.311,0.74
100000,True,"Q3 posts by tag, limit 100",30,0.556,0.513,0.745,0.118,0.439,0.905
100000,True,Q4 aggregation: top authors by likes,30,44.054,44.18,54.812,7.145,29.816,55.048
250000,False,Q1 point lookup by postID,30,87.438,84.086,117.415,16.125,69.069,123.392
250000,False,"Q2 recent posts, sorted, limit 20",30,119.723,112.097,163.258,26.802,80.996,167.214
250000,False,"Q3 posts by tag, limit 100",30,0.629,0.608,0.944,0.13,0.455,1.037
250000,False,Q4 aggregation: top authors by likes,30,99.225,105.228,120.301,17.707,68.129,131.418
250000,True,Q1 point lookup by postID,30,0.367,0.363,0.49,0.071,0.248,0.539
250000,True,"Q2 recent posts, sorted, limit 20",30,0.379,0.362,0.485,0.062,0.292,0.507
250000,True,"Q3 posts by tag, limit 100",30,0.631,0.603,0.893,0.161,0.46,1.304
250000,True,Q4 aggregation: top authors by likes,30,94.989,94.582,134.287,17.752,69.842,137.145
500000,False,Q1 point lookup by postID,30,189.327,195.296,221.471,25.768,143.918,232.628
500000,False,"Q2 recent posts, sorted, limit 20",30,226.42,231.886,321.423,47.325,164.173,324.832
500000,False,"Q3 posts by tag, limit 100",30,0.577,0.554,0.77,0.093,0.455,0.838
500000,False,Q4 aggregation: top authors by likes,30,174.939,172.487,229.672,29.061,136.039,229.933
500000,True,Q1 point lookup by postID,30,0.411,0.421,0.559,0.086,0.254,0.662
500000,True,"Q2 recent posts, sorted, limit 20",30,0.436,0.436,0.615,0.094,0.308,0.75
500000,True,"Q3 posts by tag, limit 100",30,0.582,0.546,0.847,0.116,0.461,0.972
500000,True,Q4 aggregation: top authors by likes,30,187.908,189.485,220.978,26.54,143.969,223.982
